transaction_id,date,amount,reference,description
B0125,2025-08-04,13190.99,INV-1250,ACH DEBIT CASCADE OFFICE SUP INV-1250
B0021,2025-08-05,15476.35,INV-1138,CHECK #4943 DELTA FREIGHT SYST
B0100,2025-08-05,13183.07,INV-1325,ACH DEBIT HARBORVIEW PROPERT INV-1325
B0104,2025-08-05,3454.87,INV-1362,ACH DEBIT NORTHWIND TRADING INV-1362
B0053,2025-08-06,6651.28,INV-1208,ACH DEBIT BLUEPEAK LOGISTICS INV-1208
B0134,2025-08-06,6834.67,INV-1269,CHECK #4779 IRONCLAD SECURITY
B0136,2025-08-06,3962.35,INV #1221,WIRE OUT GREENFIELD JANITOR
B0076,2025-08-08,13061.12,INV-1370,WIRE OUT ORCHARD DATA SERVI
B0083,2025-08-08,3610.28,INV-1028,ACH DEBIT HARBORVIEW PROPERT INV-1028
B0130,2025-08-08,5234.68,INV-1025,ACH DEBIT IRONCLAD SECURITY INV-1025
B0072,2025-08-11,6584.32,INV-1338,ACH DEBIT ACME INDUSTRIAL SU INV-1338
B0091,2025-08-11,3165.01,012,CHECK #4207 DELTA
B0115,2025-08-11,7246.21,PMT INV 1182,ACH DEBIT RIDGELINE STAFFING PMT INV 1182
B0126,2025-08-11,438.55,INV-1037,WIRE OUT DELTA FREIGHT SYST
B0145,2025-08-11,278.43,INV-1130,ACH DEBIT VANTAGE INSURANCE INV-1130
B0089,2025-08-13,7342.37,INV-1301,ACH DEBIT HARBORVIEW PROPERT INV-1301
B0109,2025-08-13,14540.81,INV-1068,WIRE OUT RIDGELINE STAFFING
B0132,2025-08-13,15455.18,INV-1355,WIRE OUT STERLING LEGAL PAR
B0018,2025-08-15,15046.39,206,CHECK #4497 HARBOR
B0073,2025-08-15,5840.76,,ACH DEBIT ACCOUNTS PAYABLE RUN
B0111,2025-08-15,2976.55,INV-1216,ACH DEBIT RIDGELINE STAFFING INV-1216
B0141,2025-08-15,15348.91,INV-1287,ACH DEBIT PACIFIC POWER  LIG INV-1287
B0026,2025-08-18,7373.95,INV-1075,ACH DEBIT PACIFIC POWER  LIG INV-1075
B0036,2025-08-18,2363.73,INV-1339,ACH DEBIT SUMMIT EQUIPMENT R INV-1339
B0050,2025-08-18,16609.84,INV-1181,CHECK #4604 RIDGELINE STAFFING
B0101,2025-08-18,13239.29,INV-1243,WIRE OUT GREENFIELD JANITOR
B0020,2025-08-19,4512.32,INV-1231,WIRE OUT RIDGELINE STAFFING
B0110,2025-08-19,7745.36,INV-1044,CHECK #5138 HARBORVIEW PROPERT
B0051,2025-08-20,14019.59,INV-1152,CHECK #4350 FAIRMONT CATERING
B0052,2025-08-20,12326.08,INV-1108,WIRE OUT STERLING LEGAL PAR
B0071,2025-08-21,12990.96,INV-1000,ACH DEBIT ACME INDUSTRIAL SU INV-1000
B0114,2025-08-21,9433.05,INV-1232,WIRE OUT COPPERFIELD PRINTI
B0129,2025-08-21,3851.42,INV-1340,WIRE OUT MERIDIAN SOFTWARE
B0059,2025-08-25,17077.25,INV-1189,ACH DEBIT BLUEPEAK LOGISTICS INV-1189
B0043,2025-08-26,6224.02,INV-1159,CHECK #4868 HARBORVIEW PROPERT
B0075,2025-08-26,14498.79,INV #1365,CHECK #4837 RIDGELINE STAFFING
B0094,2025-08-28,16668.11,INV-1003,ACH DEBIT NORTHWIND TRADING INV-1003
B0044,2025-08-29,12652.20,INV-1097,CHECK #4192 BLUEPEAK LOGISTICS
B0124,2025-08-29,7507.65,INV-1399,ACH DEBIT IRONCLAD SECURITY INV-1399
B0143,2025-08-29,9747.53,,ACH DEBIT ACCOUNTS PAYABLE RUN
B0077,2025-09-01,3198.09,INV-1289,CHECK #4936 PACIFIC POWER  LIG
B0093,2025-09-01,18320.69,INV-1334,ACH DEBIT ACME INDUSTRIAL SU INV-1334
B0022,2025-09-02,13609.07,INV-1378,WIRE OUT PACIFIC POWER  LIG
B0097,2025-09-02,4357.50,INV-1327,ACH DEBIT STERLING LEGAL PAR INV-1327
B0131,2025-09-02,8712.54,INV-1377,ACH DEBIT CASCADE OFFICE SUP INV-1377
B0147,2025-09-02,18377.81,INV-1127,ACH DEBIT LAKESHORE TELECOM INV-1127
B0009,2025-09-03,6603.78,INV-1316,WIRE OUT FAIRMONT CATERING
B0023,2025-09-04,12454.61,INV-1357,CHECK #4883 FAIRMONT CATERING
B0088,2025-09-04,5364.20,INV-1384,ACH DEBIT COPPERFIELD PRINTI INV-1384
B0005,2025-09-05,2029.17,PO14528,ACH DEBIT BLL PO14528
B0028,2025-09-05,7259.08,PO74822,ACH DEBIT CP PO74822
B0068,2025-09-05,17486.10,INV-1062,WIRE OUT PACIFIC POWER  LIG
B0030,2025-09-08,3681.58,INV-1052,ACH DEBIT RIDGELINE STAFFING INV-1052
B0057,2025-09-08,14632.38,INV-1046,ACH DEBIT MERIDIAN SOFTWARE INV-1046
B0079,2025-09-08,9103.74,INV-1390,ACH DEBIT GREENFIELD JANITOR INV-1390
B0103,2025-09-08,4702.41,INV-1118,ACH DEBIT CASCADE OFFICE SUP INV-1118
B0144,2025-09-08,14744.68,INV-1042,CHECK #4585 ORCHARD DATA SERVI
B0150,2025-09-08,4413.73,INV-1005,WIRE OUT VANTAGE INSURANCE
B0010,2025-09-10,15808.93,INV-1172,CHECK #4314 ACME INDUSTRIAL SU
B0084,2025-09-10,11708.44,INV-1266,ACH DEBIT RIDGELINE STAFFING INV-1266
B0092,2025-09-10,11806.72,INV-1389,ACH DEBIT PACIFIC POWER  LIG INV-1389
B0118,2025-09-10,330.19,INV-1359,ACH DEBIT COPPERFIELD PRINTI INV-1359
B0034,2025-09-12,18326.59,PO24691,ACH DEBIT SER PO24691
B0056,2025-09-12,13261.49,,CHECK #5047
B0011,2025-09-15,8739.56,INV-1354,ACH DEBIT MERIDIAN SOFTWARE INV-1354
B0039,2025-09-15,18085.77,INV-1074,CHECK #4197 FAIRMONT CATERING
B0064,2025-09-15,12490.71,INV-1388,ACH DEBIT GREENFIELD JANITOR INV-1388
B0080,2025-09-15,779.96,INV-1348,ACH DEBIT PACIFIC POWER  LIG INV-1348
B0123,2025-09-15,11028.68,INV-1247,ACH DEBIT ACME INDUSTRIAL SU INV-1247
B0138,2025-09-15,10538.69,INV-1356,ACH DEBIT LAKESHORE TELECOM INV-1356
B0139,2025-09-15,2607.50,INV-1066,ACH DEBIT MERIDIAN SOFTWARE INV-1066
B0008,2025-09-16,3752.23,INV-1260,WIRE OUT ACME INDUSTRIAL SU
B0061,2025-09-16,9122.66,INV-1098,CHECK #4178 NORTHWIND TRADING
B0086,2025-09-16,12538.21,INV-1376,WIRE OUT CASCADE OFFICE SUP
B0098,2025-09-16,7704.05,INV-1185,ACH DEBIT STERLING LEGAL PAR INV-1185
B0105,2025-09-16,10440.32,INV-1148,WIRE OUT GREENFIELD JANITOR
B0128,2025-09-16,17968.66,INV-1013,ACH DEBIT FAIRMONT CATERING INV-1013
B0112,2025-09-17,2976.97,INV-1128,WIRE OUT RIDGELINE STAFFING
B0149,2025-09-17,4583.09,INV-1176,ACH DEBIT STERLING LEGAL PAR INV-1176
B0041,2025-09-18,402.96,INV-1192,ACH DEBIT DELTA FREIGHT SYST INV-1192
B0085,2025-09-19,9796.30,INV-1396,ACH DEBIT COPPERFIELD PRINTI INV-1396
B0121,2025-09-19,16209.01,INV1040,WIRE OUT NORTHWIND TRADING
B0046,2025-09-22,402.96,INV-1192,WIRE OUT DELTA FREIGHT SYST
B0049,2025-09-22,9171.16,INV-1131,WIRE OUT MERIDIAN SOFTWARE
B0067,2025-09-22,13632.38,INV-1149,CHECK #4433 FAIRMONT CATERING
B0069,2025-09-22,7181.67,INV-1352,ACH DEBIT NORTHWIND TRADING INV-1352
B0081,2025-09-22,5232.58,INV-1036,WIRE OUT COPPERFIELD PRINTI
B0142,2025-09-23,7083.49,INV-1186,WIRE OUT ACME INDUSTRIAL SU
B0003,2025-09-25,16395.26,INV-1271,CHECK #4675 RIDGELINE STAFFING
B0042,2025-09-25,10745.78,INV-1144,ACH DEBIT VANTAGE INSURANCE INV-1144
B0004,2025-09-26,5999.58,303,CHECK #5174 STERLI
B0048,2025-09-26,3116.21,INV-1151,ACH DEBIT NORTHWIND TRADING INV-1151
B0122,2025-09-26,1927.29,INV-1233,ACH DEBIT IRONCLAD SECURITY INV-1233
B0015,2025-09-29,3046.90,INV-1164,ACH DEBIT VANTAGE INSURANCE INV-1164
B0035,2025-09-29,6748.27,INV-1137,ACH DEBIT COPPERFIELD PRINTI INV-1137
B0116,2025-09-29,8756.96,INV-1337,ACH DEBIT FAIRMONT CATERING INV-1337
B0119,2025-09-29,16281.72,INV-1285,ACH DEBIT GREENFIELD JANITOR INV-1285
B0032,2025-09-30,4024.52,INV-1368,ACH DEBIT FAIRMONT CATERING INV-1368
B0133,2025-09-30,5074.14,INV-1322,CHECK #4514 DELTA FREIGHT SYST
B0017,2025-10-01,6325.65,INV-1207,CHECK #4614 RIDGELINE STAFFING
